2025-04-06 19:21:53,702 INFO    MainThread:7234 [wandb_setup.py:_flush():76] Current SDK version is 0.16.6
2025-04-06 19:21:53,703 INFO    MainThread:7234 [wandb_setup.py:_flush():76] Configure stats pid to 7234
2025-04-06 19:21:53,703 INFO    MainThread:7234 [wandb_setup.py:_flush():76] Loading settings from /home/AD/smajumder/.config/wandb/settings
2025-04-06 19:21:53,703 INFO    MainThread:7234 [wandb_setup.py:_flush():76] Loading settings from /home/AD/smajumder/gridaero/wandb/settings
2025-04-06 19:21:53,703 INFO    MainThread:7234 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2025-04-06 19:21:53,703 INFO    MainThread:7234 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2025-04-06 19:21:53,703 INFO    MainThread:7234 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'lard-training-with-wandb.py', 'program_abspath': '/home/AD/smajumder/gridaero/lard-training-with-wandb.py', 'program': '/home/AD/smajumder/gridaero/lard-training-with-wandb.py'}
2025-04-06 19:21:53,703 INFO    MainThread:7234 [wandb_setup.py:_flush():76] Applying login settings: {}
2025-04-06 19:21:53,703 INFO    MainThread:7234 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2025-04-06 19:21:53,703 INFO    MainThread:7234 [wandb_init.py:_log_setup():521] Logging user logs to /home/AD/smajumder/gridaero/wandb/run-20250406_192153-yi1lx7vn/logs/debug.log
2025-04-06 19:21:53,703 INFO    MainThread:7234 [wandb_init.py:_log_setup():522] Logging internal logs to /home/AD/smajumder/gridaero/wandb/run-20250406_192153-yi1lx7vn/logs/debug-internal.log
2025-04-06 19:21:53,703 INFO    MainThread:7234 [wandb_init.py:init():561] calling init triggers
2025-04-06 19:21:53,703 INFO    MainThread:7234 [wandb_init.py:init():568] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.0001, 'batch_size': 2, 'epochs': 1, 'model': 'ERFE', 'input_shape': (3, 640, 360), 'seg_classes': 1, 'line_classes': 5}
2025-04-06 19:21:53,703 INFO    MainThread:7234 [wandb_init.py:init():611] starting backend
2025-04-06 19:21:53,703 INFO    MainThread:7234 [wandb_init.py:init():615] setting up manager
2025-04-06 19:21:53,706 INFO    MainThread:7234 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-04-06 19:21:53,707 INFO    MainThread:7234 [wandb_init.py:init():623] backend started and connected
2025-04-06 19:21:53,710 INFO    MainThread:7234 [wandb_init.py:init():715] updated telemetry
2025-04-06 19:21:53,715 INFO    MainThread:7234 [wandb_init.py:init():748] communicating run to backend with 90.0 second timeout
2025-04-06 19:21:54,433 INFO    MainThread:7234 [wandb_run.py:_on_init():2357] communicating current version
2025-04-06 19:21:54,694 INFO    MainThread:7234 [wandb_run.py:_on_init():2366] got version response upgrade_message: "wandb version 0.19.9 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2025-04-06 19:21:54,695 INFO    MainThread:7234 [wandb_init.py:init():799] starting run threads in backend
2025-04-06 19:21:57,844 INFO    MainThread:7234 [wandb_run.py:_console_start():2335] atexit reg
2025-04-06 19:21:57,844 INFO    MainThread:7234 [wandb_run.py:_redirect():2190] redirect: wrap_raw
2025-04-06 19:21:57,845 INFO    MainThread:7234 [wandb_run.py:_redirect():2255] Wrapping output streams.
2025-04-06 19:21:57,845 INFO    MainThread:7234 [wandb_run.py:_redirect():2280] Redirects installed.
2025-04-06 19:21:57,847 INFO    MainThread:7234 [wandb_init.py:init():842] run started, returning control to user process
2025-04-06 19:21:58,372 INFO    MainThread:7234 [wandb_watch.py:watch():51] Watching
